,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
advies,"0,3483","0,0843","0,2257","0,1644","0,1351","0,5172","0,0","0,0","0,0983","0,0","0,0591","0,0","0,2134"
afblijf,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0534"
afdwingen,"0,3483","0,0","0,0564","0,0","0,0","0,2586","0,0","0,0","0,0","0,0","0,0591","0,1512","0,0534"
afhankelijker,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
aflopen,"1,3932","1,6861","0,8465","1,2165","0,6756","1,2930000000000001","0,1323","0,6585","0,1965","0,0","0,6506","0,0","1,334"
afschaf,"0,6966","0,0843","0,2257","0,1315","1,3512","1,0344","0,0","0,2394","0,0983","8,4746","0,0","0,0","0,2134"
afschaffen,"1,7416","0,1686","0,1129","0,1315","0,1351","0,5172","0,9262","0,1197","1,2773","0,0","0,1183","0,4535","0,1601"
afschaffing,"0,3483","0,0","0,0","0,0658","0,1351","1,2930000000000001","0,2646","0,0","0,1965","0,0","0,0591","0,1512","0,0"
afsluiten,"0,3483","0,0843","0,1693","0,0986","0,0","0,0","0,0","0,1197","0,2948","0,0","0,1774","0,0","0,0534"
afspraak,"0,6966","1,0116","0,7337","1,2494","0,2702","0,7758","0,9262","1,4367","0,39299999999999996","0,0","0,414","1,0582","1,0672"
afstand,"0,3483","0,5058","0,2257","0,1973","0,4054","0,2586","0,0","0,2394","0,1965","0,0","0,2366","0,0","0,2668"
afstemming,"0,3483","0,0843","0,1129","0,0329","0,0","0,0","0,0","0,1796","0,0","0,0","0,2366","0,0","0,0534"
afvalzuiveringsheffing,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
afzien,"0,3483","0,0","0,0564","0,0","0,4054","0,0","0,1323","0,0","0,0","0,0","0,0591","0,0","0,0"
agenda,"0,3483","0,2529","0,2257","0,4603","0,0","0,0","0,0","0,1796","0,0","0,0","0,0591","0,0","0,0534"
agrarisch,"0,3483","0,4215","0,6208","0,0658","0,0","0,7758","0,0","0,3592","0,0","0,0","0,3549","0,0","0,3202"
alcohol,"0,6966","0,0843","0,0564","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,2957","0,0","0,1067"
algemeen,"1,0449","0,4215","0,4515","0,3288","0,2702","0,5172","0,1323","0,5388","0,0983","0,0","0,828","0,0","0,1601"
alsmaar,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
ambachtsschool,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
anderzijds,"0,3483","0,0","0,0564","0,0329","0,0","0,0","0,0","0,1197","0,0","0,0","0,0","0,0","0,0"
angst,"0,6966","0,0","0,0564","0,1973","0,0","0,0","0,0","0,0599","0,0983","0,0","0,0","0,0","0,1601"
anoniem,"0,3483","0,0843","0,0564","0,1315","0,0","0,0","0,2646","0,0599","0,0","0,0","0,0591","0,0","0,0"
antibiotica,"0,3483","0,0","0,1129","0,0329","0,0","0,0","0,0","0,1197","0,1965","0,0","0,1774","0,1512","0,0"
antwoord,"0,3483","0,5058","0,2822","0,0986","0,0","0,0","0,0","0,1197","0,0","0,0","0,2957","0,0","0,1601"
aow,"2,0899","0,0843","0,1129","0,2959","0,0","0,2586","0,3969","0,5986","0,2948","0,0","0,2366","0,3023","0,1601"
arbeidsmarkt,"1,0449","0,5901","1,298","1,3151","1,0809","0,5172","0,6616","0,8979","0,0983","0,0","0,414","0,6047","0,2134"
arbeidsvoorwaarde,"0,3483","0,0","0,0564","0,0329","0,0","0,0","0,0","0,5388","0,0983","0,0","0,0591","0,0","0,0534"
armoed,"0,6966","0,0","0,0","0,0","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
arts,"0,6966","0,843","0,2822","0,7891","0,1351","0,2586","0,2646","0,1796","0,0","0,0","0,2366","0,3023","0,4802"
asielzoeker,"0,3483","0,1686","0,6208","0,3945","0,4054","0,2586","0,6616","0,4789","0,0","8,4746","0,4731","0,0","0,4269"
asociaal,"0,6966","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
auto,"0,3483","0,0","0,0564","0,263","0,0","0,0","0,5292","0,1796","0,2948","0,0","0,2366","0,6047","0,3735"
avond,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1601"
baan,"0,6966","1,939","0,7901","1,7097","1,0809","0,5172","1,0585","1,9755","1,179","0,0","0,5323","1,0582","3,2549"
bang,"0,3483","0,0843","0,0","0,0329","0,1351","0,0","0,0","0,0","0,0","0,0","0,0591","0,1512","0,1601"
bank,"1,7416","1,0116","0,7901","0,6904","1,3512","0,0","0,6616","1,1972","1,2773","0,0","0,2957","2,2676","0,2134"
basis,"1,7416","0,9273","1,0159","0,9864","0,6756","0,5172","1,3231","1,1374","0,5895","0,0","0,7097","0,7559","1,4407"
basispakket,"0,6966","0,0","0,1129","0,0658","0,0","0,0","0,2646","0,1796","0,2948","0,0","0,1774","0,1512","0,1601"
basisrecht,"0,6966","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
basistandheelkunde,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
basiszorg,"0,3483","0,0","0,0","0,0329","0,5405","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0"
beantwoorden,"0,3483","0,0843","0,0","0,0","0,0","0,0","0,1323","0,0599","0,0","0,0","0,0","0,0","0,0534"
beding,"0,3483","0,1686","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
bedrag,"0,6966","0,1686","0,0564","0,0986","0,1351","0,0","0,0","0,1796","0,2948","0,0","0,1774","0,0","0,0"
bedreiging,"0,3483","0,1686","0,1693","0,0658","0,1351","0,0","0,2646","0,1197","0,1965","0,0","0,0","0,1512","0,1067"
bedrijf,"0,6966","2,782","3,5555","2,3344","3,9184","1,2930000000000001","3,1754","3,053","3,0458","0,0","2,7206","3,3258","4,0553"
bedrijfsleven,"1,0449","0,5901","0,8465","0,5589","0,8107","0,5172","0,5292","1,0177","0,1965","0,0","0,1183","0,3023","1,4407"
begin,"0,6966","0,4215","0,1129","0,0658","0,1351","0,0","0,2646","0,0599","0,0","0,0","0,2957","0,1512","0,1067"
beginnen,"1,0449","0,7587","0,3951","0,8877","0,4054","0,5172","0,5292","0,7782","0,39299999999999996","0,0","0,7689","0,6047","0,4269"
begroting,"0,3483","0,0","0,0","0,4603","0,1351","0,0","0,1323","0,1197","0,2948","0,0","0,2957","0,4535","0,3735"
behalen,"0,3483","0,2529","0,0","0,0986","0,0","0,5172","0,2646","0,0599","0,1965","0,0","0,1774","0,1512","0,5869"
behandelen,"0,6966","0,0843","0,1693","0,2959","0,4054","0,0","0,1323","0,419","0,0983","0,0","0,2957","0,1512","0,4269"
behandeling,"0,6966","0,1686","0,8465","0,7233","0,2702","0,5172","0,7939","0,5388","0,1965","0,0","0,6506","0,1512","1,0138"
beheersing,"0,6966","0,1686","0,0564","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,1512","0,0"
behoeve,"0,3483","0,0","0,1693","0,0658","0,0","0,0","0,0","0,0599","0,0983","0,0","0,1183","0,0","0,0"
behouden,"1,0449","0,5901","0,7901","0,4603","0,5405","1,0344","0,5292","0,6585","0,6878","0,0","0,4731","0,4535","1,2273"
belang,"3,8314","3,4564","1,9188","2,4001","2,0268","2,0688","0,9262","2,2149","1,5719999999999998","0,0","1,242","1,9652","4,162"
belangrijk,"1,3932","4,3837","4,5149","3,0577","1,6214","1,8102","1,3231","2,0952","1,2773","0,0","2,8389","0,907","4,7489"
belangstelling,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
belasting,"1,0449","0,5901","0,7337","0,5589","0,6756","0,2586","0,7939","0,6585","0,7859999999999999","0,0","0,5914","0,6047","1,1205"
belastingaangifte,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1512","0,0"
belastingbeleid,"0,3483","0,0","0,0564","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
belastingconstructie,"0,3483","0,0","0,0","0,0","0,0","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0"
belastingen,"1,0449","0,4215","0,5644","0,3288","0,1351","3,1032","0,7939","0,3592","0,5895","0,0","0,4731","0,3023","1,3873"
belastingschijf,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
belastingstelsel,"0,3483","0,5901","0,8465","0,1315","0,4054","1,0344","0,3969","0,5388","0,0983","0,0","0,5914","0,1512","0,2668"
belastingsysteem,"0,3483","0,0","0,0","0,0658","0,1351","0,2586","0,1323","0,0","0,0","0,0","0,0","0,1512","0,0534"
belastingverdragen,"0,3483","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,1512","0,1601"
belastingverlaging,"0,3483","0,0","0,0","0,0","0,0","0,0","0,1323","0,0599","0,0","0,0","0,0591","0,0","0,1067"
belastingverzwaringen,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
belastingvrij,"0,3483","0,0","0,0564","0,0","0,1351","1,8102","0,0","0,0","0,1965","0,0","0,0591","0,0","0,0"
beleid,"1,3932","1,2645","1,4109","0,7233","1,3512","1,2930000000000001","0,9262","0,9578","1,6703","0,0","0,9463","0,907","1,0138"
belemmeren,"0,3483","0,0843","0,0564","0,0329","0,0","0,0","0,0","0,0599","0,0","0,0","0,1183","0,0","0,0"
belemmering,"0,3483","0,0843","0,2822","0,2959","0,1351","0,2586","0,3969","0,1197","0,0983","0,0","0,1774","0,1512","0,2134"
beleven,"0,3483","0,0","0,0564","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
belgië,"0,3483","0,1686","0,3951","0,0","0,0","0,0","0,1323","0,1197","0,0983","0,0","0,1183","0,3023","0,1601"
belijden,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0534"
beloning,"0,3483","0,0843","0,0564","0,1315","0,1351","0,0","0,2646","0,3592","0,1965","0,0","0,0","0,3023","0,1601"
beloven,"0,6966","0,0843","0,0","0,0986","0,0","0,0","0,0","0,0","0,0","0,0","0,1183","0,0","0,0"
benaderen,"0,3483","0,0","0,0","0,0329","0,1351","0,0","0,0","0,0599","0,0983","0,0","0,0","0,0","0,0534"
bepalen,"0,6966","0,3372","0,6208","0,7233","0,9458","1,2930000000000001","0,2646","0,4789","0,4913","8,4746","0,7097","0,1512","1,334"
beperken,"2,4382","0,4215","0,6772","1,2165","0,8107","0,2586","1,1908","1,0775","0,7859999999999999","0,0","1,8335","1,6629","0,8004"
beperking,"0,3483","0,6744","1,4674","0,3945","0,5405","0,0","1,0585","0,6585","0,4913","0,0","1,0054","1,2094","0,5336"
beplanting,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
bereikbaar,"0,3483","0,0843","0,0564","0,2301","0,2702","0,0","0,3969","0,0599","0,0983","0,0","0,0","0,3023","0,1601"
berichtenservice,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
beroep,"0,3483","0,2529","0,1129","0,0658","0,0","0,2586","0,2646","0,0599","0,0","0,0","0,3549","0,1512","0,3735"
beroofd,"0,6966","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
beschaving,"0,3483","0,0843","0,0","0,0","0,6756","0,7758","0,0","0,0599","0,0","0,0","0,0591","0,0","0,0"
beschermen,"0,3483","1,1802","1,0723","1,3809","0,2702","1,2930000000000001","1,9847","1,317","0,9825","0,0","1,3012","1,6629","1,4407"
bescherming,"0,6966","0,3372","1,3545","0,6576","0,5405","2,0688","1,0585","0,7782","1,7685","0,0","1,4194","0,6047","0,747"
beschikbaar,"2,7865","0,6744","1,0723","1,2823","0,2702","1,0344","1,0585","0,7782","0,6878","0,0","1,242","0,907","1,6541"
beschikken,"0,3483","0,0843","0,1129","0,263","0,0","0,2586","0,1323","0,0599","0,2948","0,0","0,0591","0,1512","0,6937"
beschimpen,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
beslissing,"0,3483","0,0","0,1693","0,2301","0,1351","0,2586","0,2646","0,1796","0,1965","0,0","0,0","0,0","0,0534"
besluiten,"0,3483","0,2529","0,1693","0,3617","0,5405","0,2586","0,0","0,2394","0,39299999999999996","0,0","0,2366","0,7559","0,3202"
besparende,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0","0,0","0,0"
bestaan,"2,7865","1,0959","1,8624","2,2357","0,8107","1,5516","1,3231","2,0952","2,0633","0,0","1,5969","1,3605","1,334"
bestaande,"0,6966","0,0","0,0564","0,0658","0,0","0,0","0,0","0,0","0,5895","0,0","0,0591","0,0","0,1601"
besteding,"0,6966","0,0","0,0","0,0658","0,1351","0,2586","0,2646","0,1197","0,0983","0,0","0,0591","0,0","0,1067"
bestraft,"0,3483","0,0843","0,0","0,0","0,1351","0,2586","0,1323","0,0","0,1965","0,0","0,1183","0,1512","0,0534"
bestreden,"1,0449","0,0843","0,0564","0,0986","0,0","0,0","0,2646","0,1796","0,39299999999999996","0,0","0,0","0,6047","0,2134"
bestrijden,"1,7416","0,3372","0,6208","0,7562","1,2161","0,5172","0,9262","1,2571","0,1965","0,0","0,5323","1,8141","0,2134"
bestrijding,"0,6966","0,0","0,5079","0,0658","0,5405","0,0","0,5292","0,2993","0,6878","0,0","0,0591","0,3023","0,0534"
bestuurlijk,"0,3483","0,1686","0,0","0,2301","0,0","0,7758","0,0","0,0599","0,0","0,0","0,2366","0,0","0,0534"
bestuurslaag,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
betaalbaar,"0,3483","0,0","0,4515","0,1315","0,9458","0,0","0,6616","0,1197","0,39299999999999996","0,0","0,2366","1,3605","0,2668"
betaalbare,"0,3483","0,2529","0,1693","0,0986","0,2702","0,2586","0,2646","0,2394","0,2948","0,0","0,1774","1,5117","0,1067"
betalen,"1,3932","0,5058","1,4109","1,1836","1,6214","0,2586","2,7785","1,6163","1,7685","0,0","1,3012","2,7211","2,2411"
betaling,"1,0449","0,0","0,0","0,0329","0,0","0,2586","0,0","0,0","0,0","0,0","0,0","0,0","0,1601"
betrekken,"0,6966","1,0116","0,4515","0,8220000000000001","0,6756","0,0","0,0","0,8381","0,5895","0,0","1,0646","0,6047","0,5336"
beurs,"0,3483","0,0","0,0","0,0658","0,0","0,0","0,2646","0,0599","0,0983","0,0","0,2366","0,1512","0,0"
beven,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
bevoegdheid,"0,3483","0,6744","0,3951","0,1973","0,1351","0,7758","0,0","0,1197","0,6878","0,0","0,7689","0,7559","0,1601"
bevolking,"0,6966","0,2529","0,3386","0,1644","0,5405","2,3274","0,1323","0,1796","0,2948","0,0","0,1774","1,2094","0,3202"
bevolkingsdichtheid,"0,3483","0,0","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
bevoorrecht,"0,3483","0,0","0,0","0,0","0,0","0,2586","0,0","0,1197","0,0","0,0","0,0","0,0","0,0"
bevrijdingsdag,"0,3483","0,0","0,0","0,0","0,0","0,0","0,1323","0,0","0,0","0,0","0,0","0,0","0,0"
bewaken,"0,6966","0,0843","0,0564","0,2959","0,0","0,0","0,0","0,1197","0,0","0,0","0,1774","0,1512","0,1601"
bewaking,"0,3483","0,3372","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,1183","0,0","0,1067"
bewaren,"0,3483","0,2529","0,1129","0,0658","0,1351","0,0","0,1323","0,0599","0,0983","0,0","0,0","0,1512","0,0"
bewegen,"0,6966","0,0843","0,0564","0,3945","0,0","0,0","0,0","0,4789","0,0983","0,0","0,0591","0,0","0,3735"
bewijs,"0,6966","0,0","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0591","0,0","0,0"
bewijzen,"0,3483","0,0843","0,2257","0,2301","0,2702","0,0","0,0","0,1796","0,0983","0,0","0,1774","0,0","0,4802"
bewoner,"0,6966","0,1686","0,1129","0,1315","0,2702","0,0","0,3969","0,5986","0,4913","0,0","0,0591","0,4535","0,2134"
bewust,"0,3483","0,2529","0,1129","0,263","0,6756","0,0","0,1323","0,1197","0,0","0,0","0,2366","0,3023","0,2134"
bezig,"0,3483","0,0843","0,0564","0,0","0,0","0,0","0,1323","0,0","0,0983","0,0","0,0591","0,0","0,2668"
bezoek,"0,3483","0,3372","0,0","0,0329","0,1351","0,0","0,0","0,0","0,0","0,0","0,0","0,1512","0,0"
bezuiniging,"1,0449","0,2529","0,2822","0,1644","0,1351","0,0","0,1323","0,1197","0,2948","8,4746","0,1774","0,0","0,0"
beëindigd,"0,3483","0,0","0,0","0,0","0,0","0,0","0,1323","0,0","0,1965","0,0","0,0591","0,0","0,0"
bieden,"0,3483","3,9622","2,6525","2,8933","1,2161","1,2930000000000001","1,0585","2,3346","2,2598","0,0","1,8335","1,6629","3,3616"
bijdrage,"1,3932","1,8547","1,4674","1,0192","1,0809","0,7758","0,6616","1,2571","0,39299999999999996","0,0","1,1829","1,0582","1,334"
bijstandsuitkering,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,0","0,2134"
bijvoorbeeld,"0,6966","1,2645","2,201","4,5044","0,6756","1,2930000000000001","1,5877","2,0952","0,7859999999999999","0,0","3,2529","2,1164","5,8161"
bijzonder,"0,6966","1,0116","0,903","0,9864","0,2702","0,2586","0,5292","0,8979","0,1965","0,0","1,1829","0,6047","0,4269"
binden,"0,6966","0,0843","0,1129","0,1973","0,0","1,2930000000000001","0,5292","0,5388","0,9825","8,4746","0,0","0,0","0,0534"
binnenland,"0,3483","0,0","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
binnenlands,"0,6966","0,1686","0,1129","0,0986","0,4054","0,0","0,2646","0,0","0,5895","0,0","0,2957","0,3023","0,0534"
blijven,"5,9213","5,4797","3,2733","3,4522","2,0268","2,5860000000000003","1,72","4,3101","2,2598","0,0","4,8498","4,2328","7,4169"
boer,"0,3483","0,6744","1,5238","0,2301","0,0","0,0","0,7939","0,3592","1,5719999999999998","0,0","1,0054","0,6047","0,3735"
bonaire,"0,3483","0,0843","0,3386","0,0329","0,2702","0,0","0,0","0,0","0,0983","0,0","0,0591","0,1512","0,0534"
boom,"0,3483","0,0843","0,1129","0,0","0,0","0,0","0,1323","0,0599","0,1965","0,0","0,0","0,0","0,0"
boren,"0,3483","0,0","0,0","0,0329","0,0","0,0","0,1323","0,0","0,0","0,0","0,0","0,1512","0,0"
borg,"0,3483","0,1686","0,1129","0,1315","0,1351","0,0","0,0","0,3592","0,0","0,0","0,0","0,1512","0,0"
bot,"0,3483","0,0","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
bouwen,"1,3932","2,1076","1,1287","1,2494","0,1351","0,0","0,7939","1,0775","1,179","0,0","0,2957","2,2676","0,6403"
box,"0,3483","0,0","0,0564","0,0","0,0","0,0","0,1323","0,3592","0,0","0,0","0,0591","0,0","0,0"
brandstof,"0,3483","0,0843","0,1129","0,1644","0,0","0,0","0,2646","0,1197","0,4913","0,0","0,4731","0,1512","0,0534"
brengen,"1,3932","1,0959","1,298","1,1507","0,8107","0,7758","0,6616","1,9156","1,179","0,0","1,3012","1,2094","1,1205"
brussel,"0,3483","0,2529","0,1129","0,0329","0,2702","0,2586","0,1323","0,1197","0,0983","0,0","1,0054","0,4535","0,4269"
bruto,"0,3483","0,0843","0,0","0,0329","0,4054","0,0","0,1323","0,0","0,39299999999999996","0,0","0,0","0,1512","0,0534"
buitengewoon,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,1183","0,0","0,0534"
buitengrens,"0,3483","0,1686","0,1129","0,1315","0,0","0,0","0,0","0,0","0,0983","0,0","0,1774","0,1512","0,3202"
buitenland,"0,6966","0,2529","0,1693","1,0521","0,2702","0,5172","0,1323","0,3592","0,1965","0,0","0,414","0,3023","0,9071"
buitenlands,"0,3483","0,4215","0,1693","0,4603","0,1351","1,5516","0,3969","0,1796","0,5895","0,0","0,7097","0,1512","0,8537"
burgemeester,"0,3483","0,0843","0,0","0,1973","0,4054","1,0344","0,1323","0,3592","0,0983","0,0","0,1774","0,0","0,3735"
burger,"2,0899","2,6134","1,7495","0,8220000000000001","5,4047","2,0688","1,9847","1,1972","3,2423","8,4746","2,1292","1,3605","0,1601"
burgerschap,"0,3483","1,1802","0,1693","0,1644","0,4054","0,0","0,0","0,2394","0,0","0,0","0,0","0,0","0,0"
buurtzorg,"0,6966","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
capaciteit,"0,3483","0,5058","0,3951","0,263","0,2702","0,0","0,1323","0,2993","0,0983","0,0","0,2366","0,4535","0,3735"
caravan,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cel,"0,3483","0,0843","0,0","0,0329","0,0","0,0","0,0","0,0599","0,0983","0,0","0,0591","0,0","0,0"
cent,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0983","0,0","0,0","0,0","0,0"
ceta,"0,3483","0,0","0,0","0,0329","0,2702","0,5172","0,0","0,0599","0,4913","0,0","0,0591","0,1512","0,0"
christenunie,"0,6966","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
coache,"0,3483","0,0","0,0","0,0329","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
codicil,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cola,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
collectiviteit,"0,3483","0,0843","0,0","0,0","0,0","0,0","0,0","0,0599","0,0","0,0","0,0591","0,0","0,0"
collectiviteitsgedachte,"0,3483","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
commissaris,"0,3483","0,0","0,0","0,0658","0,4054","0,0","0,3969","0,0599","0,0983","0,0","0,0591","0,0","0,0534"
commissie,"0,3483","0,0","0,2822","0,2301","0,1351","0,2586","0,3969","0,0599","0,1965","0,0","0,414","0,6047","0,1067"
communicatie,"0,3483","0,1686","0,0","0,0986","0,0","0,2586","0,5292","0,1796","0,0","0,0","0,0","0,0","0,1067"
compensatie,"0,3483","0,1686","0,2822","0,0986","0,1351","0,2586","0,1323","0,1796","0,1965","0,0","0,1774","0,0","0,0"
