,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD,Totaal
welbevind,"3,0","0,0","1,0","1,0","0,0","0,0","0,0","1,0","2,0","0,0","0,0","0,0","0,0","8,0"
jong,"2,0","67,0","86,0","39,0","9,0","5,0","24,0","53,0","22,0","3,0","44,0","8,0","20,0","364,0"
rijk,"2,0","11,0","33,0","27,0","6,0","2,0","7,0","24,0","16,0","2,0","49,0","4,0","2,0","182,0"
arm,"1,0","2,0","6,0","7,0","2,0","0,0","5,0","11,0","4,0","2,0","3,0","2,0","1,0","45,0"
ziek,"2,0","1,0","4,0","4,0","1,0","1,0","8,0","9,0","8,0","4,0","6,0","2,0","6,0","56,0"
gezond,"1,0","8,0","18,0","14,0","0,0","0,0","11,0","11,0","27,0","0,0","11,0","1,0","4,0","106,0"
immers,"2,0","0,0","6,0","5,0","4,0","3,0","0,0","4,0","7,0","2,0","6,0","1,0","1,0","41,0"
inrichten,"1,0","1,0","7,0","4,0","0,0","1,0","1,0","3,0","7,0","0,0","4,0","0,0","1,0","30,0"
verwachten,"1,0","0,0","4,0","13,0","2,0","3,0","0,0","6,0","1,0","1,0","4,0","0,0","9,0","43,0"
écht,"1,0","1,0","9,0","1,0","1,0","3,0","1,0","1,0","1,0","0,0","9,0","0,0","0,0","28,0"
rekenen,"2,0","4,0","7,0","12,0","0,0","3,0","2,0","9,0","2,0","5,0","14,0","1,0","7,0","68,0"
waarmee,"2,0","11,0","9,0","15,0","5,0","2,0","9,0","11,0","4,0","0,0","6,0","4,0","16,0","92,0"
mee,"2,0","19,0","30,0","43,0","10,0","4,0","16,0","49,0","26,0","7,0","36,0","4,0","23,0","269,0"
blijven,"20,0","53,0","126,0","94,0","20,0","23,0","21,0","67,0","59,0","18,0","159,0","14,0","94,0","764,0"
wellicht,"1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0","0,0","1,0","11,0"
gedeeltelijk,"1,0","0,0","2,0","0,0","2,0","0,0","2,0","1,0","0,0","0,0","2,0","0,0","1,0","10,0"
stoppen,"2,0","2,0","20,0","20,0","7,0","22,0","17,0","18,0","44,0","14,0","9,0","26,0","14,0","214,0"
werken,"4,0","59,0","99,0","155,0","9,0","18,0","73,0","83,0","31,0","12,0","77,0","8,0","76,0","700,0"
inzette,"5,0","6,0","25,0","17,0","11,0","5,0","6,0","6,0","10,0","4,0","18,0","1,0","11,0","121,0"
voldoende,"2,0","20,0","48,0","41,0","7,0","3,0","10,0","32,0","41,0","2,0","65,0","7,0","23,0","296,0"
beschikbaar,"5,0","12,0","37,0","35,0","6,0","2,0","11,0","10,0","6,0","6,0","37,0","2,0","18,0","183,0"
levensloopbestendig,"1,0","0,0","2,0","1,0","0,0","0,0","1,0","2,0","0,0","0,0","1,0","0,0","0,0","8,0"
alternatief,"3,0","7,0","26,0","23,0","8,0","1,0","16,0","12,0","15,0","0,0","11,0","4,0","15,0","138,0"
woonvormen,"4,0","5,0","9,0","1,0","0,0","0,0","5,0","4,0","1,0","0,0","2,0","0,0","1,0","32,0"
mogelijk,"10,0","30,0","120,0","131,0","9,0","22,0","39,0","64,0","59,0","4,0","124,0","12,0","81,0","683,0"
sowieso,"1,0","2,0","5,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","10,0"
bereikbaar,"1,0","11,0","2,0","5,0","2,0","0,0","3,0","6,0","8,0","0,0","2,0","0,0","4,0","43,0"
thuis,"9,0","20,0","20,0","21,0","3,0","7,0","7,0","25,0","10,0","2,0","18,0","2,0","11,0","155,0"
veilige,"5,0","26,0","14,0","24,0","1,0","1,0","16,0","6,0","9,0","2,0","15,0","0,0","13,0","131,0"
plek,"1,0","3,0","34,0","24,0","3,0","4,0","10,0","16,0","9,0","1,0","21,0","4,0","12,0","141,0"
aandacht,"2,0","39,0","68,0","46,0","17,0","14,0","15,0","33,0","25,0","4,0","67,0","5,0","22,0","348,0"
hoog,"8,0","29,0","81,0","66,0","8,0","16,0","27,0","39,0","55,0","9,0","73,0","12,0","60,0","482,0"
leeftijd,"7,0","3,0","10,0","10,0","0,0","2,0","1,0","13,0","6,0","0,0","7,0","1,0","4,0","63,0"
eenzaamheid,"2,0","5,0","9,0","1,0","1,0","2,0","0,0","1,0","1,0","0,0","6,0","0,0","1,0","29,0"
sociaal,"9,0","23,0","70,0","61,0","26,0","31,0","38,0","62,0","29,0","7,0","47,0","26,0","42,0","465,0"
isolement,"2,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","4,0"
voorkomen,"6,0","34,0","83,0","66,0","7,0","4,0","22,0","38,0","37,0","4,0","79,0","15,0","55,0","445,0"
duurzaam,"3,0","35,0","95,0","67,0","7,0","4,0","38,0","50,0","87,0","0,0","51,0","15,0","29,0","475,0"
infrastructuur,"2,0","6,0","23,0","23,0","5,0","6,0","5,0","8,0","4,0","1,0","22,0","1,0","22,0","127,0"
hard,"1,0","7,0","11,0","27,0","7,0","5,0","27,0","25,0","11,0","2,0","16,0","6,0","16,0","161,0"
natuurlijk,"1,0","1,0","12,0","4,0","1,0","4,0","5,0","6,0","28,0","4,0","15,0","0,0","4,0","84,0"
plan,"1,0","8,0","13,0","16,0","6,0","5,0","5,0","43,0","20,0","1,0","10,0","2,0","9,0","140,0"
waarin,"5,0","27,0","54,0","39,0","15,0","14,0","34,0","38,0","38,0","4,0","17,0","3,0","10,0","294,0"
bevinden,"1,0","0,0","3,0","3,0","0,0","3,0","1,0","1,0","0,0","0,0","3,0","0,0","2,0","17,0"
impact,"2,0","1,0","17,0","15,0","0,0","1,0","1,0","3,0","5,0","1,0","10,0","0,0","0,0","55,0"
gevolg,"1,0","8,0","28,0","13,0","1,0","11,0","8,0","15,0","25,0","2,0","46,0","3,0","17,0","178,0"
daarvan,"1,0","0,0","18,0","4,0","2,0","2,0","3,0","2,0","12,0","1,0","10,0","3,0","2,0","60,0"
merkbaar,"1,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
economisch,"4,0","39,0","41,0","42,0","9,0","2,0","18,0","22,0","23,0","5,0","46,0","3,0","41,0","294,0"
maatschappelijk,"3,0","29,0","77,0","58,0","4,0","4,0","24,0","25,0","13,0","0,0","42,0","4,0","11,0","286,0"
tonen,"1,0","0,0","4,0","4,0","1,0","1,0","3,0","5,0","5,0","0,0","3,0","3,0","2,0","32,0"
veerkracht,"1,0","1,0","10,0","0,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","2,0","16,0"
kort,"1,0","7,0","25,0","22,0","3,0","4,0","6,0","8,0","17,0","0,0","14,0","3,0","13,0","119,0"
tijd,"2,0","33,0","54,0","73,0","17,0","9,0","25,0","48,0","47,0","9,0","57,0","5,0","37,0","413,0"
digivaardigheid,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
senioren,"3,0","1,0","3,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0"
enorm,"1,0","2,0","6,0","16,0","4,0","10,0","8,0","5,0","10,0","5,0","18,0","0,0","3,0","87,0"
toenemen,"2,0","6,0","20,0","7,0","3,0","6,0","3,0","7,0","3,0","0,0","12,0","0,0","9,0","78,0"
geweldig,"1,0","0,0","2,0","1,0","0,0","0,0","0,0","1,0","4,0","0,0","0,0","0,0","1,0","11,0"
initiatief,"2,0","18,0","35,0","21,0","1,0","3,0","5,0","5,0","5,0","2,0","15,0","1,0","2,0","112,0"
mens,"27,0","90,0","276,0","294,0","72,0","44,0","143,0","253,0","214,0","35,0","180,0","89,0","186,0","1896,0"
ondersteunen,"3,0","8,0","25,0","33,0","1,0","3,0","20,0","18,0","7,0","0,0","29,0","2,0","11,0","153,0"
versnellen,"1,0","2,0","7,0","9,0","2,0","1,0","5,0","8,0","3,0","0,0","4,0","1,0","3,0","44,0"
slag,"1,0","7,0","1,0","10,0","0,0","1,0","1,0","5,0","3,0","0,0","7,0","1,0","4,0","41,0"
beeldbel,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
stemmen,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","3,0"
positief,"3,0","1,0","9,0","8,0","0,0","1,0","0,0","2,0","6,0","0,0","10,0","0,0","2,0","41,0"
trots,"1,0","2,0","1,0","6,0","2,0","3,0","2,0","7,0","0,0","6,0","1,0","0,0","4,0","35,0"
liggen,"1,0","21,0","21,0","42,0","10,0","5,0","7,0","12,0","19,0","6,0","38,0","3,0","12,0","198,0"
lian,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
den,"2,0","5,0","6,0","3,0","1,0","0,0","0,0","2,0","42,0","3,0","7,0","3,0","0,0","74,0"
haan,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","4,0"
lijsttrekker,"2,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0"
lid,"3,0","5,0","4,0","16,0","1,0","3,0","2,0","9,0","3,0","0,0","3,0","3,0","4,0","56,0"
programmacommissie,"1,0","0,0","0,0","3,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","1,0","2,0","11,0"
voorzitter,"1,0","3,0","1,0","3,0","0,0","0,0","2,0","1,0","1,0","1,0","0,0","1,0","0,0","14,0"
erik,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
graaff,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
secretaris,"1,0","0,0","0,0","1,0","0,0","0,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","4,0"
jan,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","4,0"
nagel,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
thomas,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
kuijk,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
aleydis,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
kenny,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
pluspunten,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
koopkrachtverlies,"3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
procent,"6,0","0,0","1,0","36,0","0,0","3,0","19,0","23,0","10,0","2,0","4,0","2,0","5,0","110,0"
gepensioneren,"3,0","1,0","1,0","2,0","0,0","0,0","1,0","0,0","2,0","1,0","4,0","1,0","0,0","16,0"
komen,"27,0","66,0","302,0","213,0","49,0","27,0","87,0","186,0","280,0","21,0","231,0","28,0","171,0","1655,0"
gerepareerd,"1,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
daarvoor,"2,0","9,0","11,0","13,0","2,0","0,0","8,0","19,0","10,0","2,0","23,0","3,0","15,0","116,0"
stilstand,"1,0","0,0","3,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0"
geïndexeerd,"1,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","3,0"
pensioenkorting,"1,0","0,0","2,0","0,0","1,0","0,0","0,0","1,0","0,0","2,0","1,0","0,0","1,0","9,0"
definitief,"1,0","0,0","4,0","1,0","0,0","0,0","2,0","1,0","5,0","0,0","0,0","0,0","0,0","13,0"
baan,"2,0","19,0","19,0","31,0","5,0","2,0","18,0","44,0","12,0","8,0","14,0","6,0","22,0","201,0"
rekenrente,"4,0","0,0","1,0","0,0","1,0","1,0","0,0","0,0","0,0","3,0","0,0","0,0","1,0","11,0"
extreem,"2,0","4,0","7,0","3,0","0,0","3,0","1,0","3,0","5,0","0,0","8,0","2,0","0,0","38,0"
laag,"5,0","9,0","56,0","35,0","11,0","10,0","17,0","23,0","23,0","4,0","20,0","12,0","32,0","255,0"
houden,"7,0","40,0","80,0","81,0","7,0","18,0","22,0","47,0","58,0","19,0","73,0","5,0","77,0","528,0"
pensioenstelsel,"1,0","0,0","4,0","1,0","0,0","0,0","0,0","1,0","1,0","5,0","6,0","0,0","4,0","23,0"
stabiel,"2,0","4,0","9,0","5,0","1,0","2,0","2,0","5,0","2,0","0,0","8,0","1,0","3,0","44,0"
volledig,"4,0","1,0","13,0","16,0","1,0","7,0","11,0","9,0","26,0","3,0","5,0","1,0","8,0","104,0"
krijgen,"13,0","55,0","136,0","227,0","20,0","24,0","132,0","169,0","145,0","25,0","155,0","52,0","97,0","1243,0"
maand,"2,0","0,0","12,0","2,0","1,0","1,0","4,0","3,0","1,0","1,0","1,0","0,0","1,0","29,0"
risico,"4,0","8,0","15,0","13,0","5,0","2,0","3,0","10,0","8,0","4,0","12,0","3,0","21,0","105,0"
terug,"3,0","22,0","20,0","15,0","6,0","10,0","20,0","20,0","30,0","16,0","19,0","5,0","16,0","201,0"
euro,"2,0","4,0","6,0","5,0","6,0","17,0","14,0","9,0","9,0","2,0","16,0","5,0","6,0","101,0"
helemaal,"1,0","1,0","6,0","1,0","2,0","0,0","2,0","2,0","5,0","4,0","8,0","1,0","1,0","35,0"
afschaffen,"4,0","1,0","9,0","3,0","2,0","3,0","4,0","3,0","30,0","3,0","3,0","1,0","3,0","68,0"
huurprijs,"1,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","1,0","1,0","6,0"
bevriezen,"1,0","0,0","2,0","1,0","0,0","0,0","1,0","5,0","1,0","0,0","0,0","0,0","2,0","13,0"
inflatieaanpassing,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
minimumloon,"2,0","2,0","9,0","9,0","1,0","0,0","10,0","9,0","2,0","1,0","3,0","3,0","3,0","54,0"
structureel,"2,0","7,0","30,0","18,0","6,0","0,0","2,0","8,0","6,0","3,0","12,0","1,0","12,0","107,0"
verhogen,"2,0","5,0","15,0","32,0","6,0","7,0","22,0","18,0","21,0","3,0","16,0","10,0","21,0","175,0"
gemeente,"10,0","36,0","119,0","104,0","16,0","11,0","32,0","56,0","22,0","4,0","130,0","10,0","54,0","595,0"
verplichten,"2,0","2,0","23,0","26,0","9,0","10,0","20,0","19,0","22,0","3,0","22,0","3,0","21,0","177,0"
ontwikkelen,"5,0","17,0","18,0","30,0","4,0","4,0","9,0","21,0","11,0","1,0","18,0","6,0","9,0","150,0"
kleinschalige,"2,0","1,0","7,0","3,0","0,0","2,0","3,0","6,0","5,0","0,0","4,0","0,0","2,0","35,0"
bouwen,"2,0","30,0","46,0","59,0","5,0","10,0","31,0","25,0","23,0","6,0","19,0","9,0","18,0","279,0"
groen,"2,0","10,0","24,0","44,0","3,0","0,0","49,0","23,0","52,0","2,0","9,0","2,0","7,0","228,0"
leefbaar,"5,0","2,0","2,0","2,0","0,0","0,0","3,0","12,0","15,0","0,0","2,0","0,0","0,0","43,0"
wijken,"4,0","6,0","19,0","16,0","3,0","0,0","6,0","29,0","5,0","5,0","6,0","2,0","6,0","105,0"
zelfstandig,"2,0","11,0","17,0","16,0","1,0","2,0","6,0","11,0","4,0","2,0","18,0","2,0","15,0","106,0"
terugkeer,"2,0","3,0","12,0","5,0","1,0","4,0","4,0","1,0","3,0","0,0","16,0","0,0","5,0","54,0"
basisbeurs,"2,0","5,0","2,0","0,0","1,0","1,0","0,0","3,0","3,0","2,0","2,0","0,0","0,0","21,0"
studer,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,0","1,0","4,0"
wijkagent,"3,0","1,0","7,0","3,0","5,0","2,0","5,0","7,0","1,0","0,0","8,0","1,0","3,0","46,0"
zichtbaar,"3,0","7,0","6,0","7,0","2,0","0,0","1,0","4,0","4,0","1,0","5,0","0,0","2,0","42,0"
straat,"4,0","4,0","8,0","7,0","0,0","5,0","9,0","21,0","9,0","11,0","5,0","2,0","4,0","88,0"
leeftijdsdiscriminatie,"2,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
arbeidsmarkt,"3,0","20,0","34,0","31,0","7,0","3,0","7,0","8,0","6,0","2,0","13,0","4,0","12,0","149,0"
dichtbij,"2,0","3,0","19,0","7,0","1,0","0,0","2,0","8,0","1,0","0,0","5,0","0,0","1,0","48,0"
organiseren,"2,0","10,0","25,0","10,0","1,0","5,0","14,0","11,0","14,0","1,0","12,0","3,0","13,0","120,0"
verpleeghuiszorg,"1,0","0,0","2,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","1,0","1,0","3,0","11,0"
klein,"3,0","22,0","38,0","38,0","5,0","8,0","15,0","18,0","33,0","1,0","28,0","5,0","31,0","246,0"
specialistisch,"1,0","1,0","5,0","4,0","1,0","0,0","1,0","1,0","1,0","0,0","5,0","1,0","2,0","23,0"
ingreep,"1,0","1,0","1,0","1,0","0,0","0,0","1,0","2,0","2,0","0,0","4,0","0,0","2,0","15,0"
plaatsvinden,"1,0","1,0","10,0","6,0","2,0","4,0","2,0","3,0","7,0","0,0","16,0","0,0","9,0","59,0"
mantelzorger,"6,0","6,0","14,0","6,0","1,0","0,0","3,0","6,0","3,0","0,0","11,0","1,0","1,0","57,0"
ondersteuning,"4,0","16,0","51,0","23,0","4,0","1,0","17,0","11,0","3,0","0,0","66,0","6,0","15,0","214,0"
gezonde,"4,0","11,0","28,0","23,0","2,0","3,0","13,0","16,0","34,0","3,0","16,0","2,0","4,0","155,0"
kwetsbare,"8,0","7,0","33,0","13,0","9,0","0,0","6,0","17,0","18,0","0,0","20,0","1,0","2,0","132,0"
geweldsdelict,"2,0","0,0","0,0","1,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0"
waarvan,"2,0","1,0","9,0","4,0","1,0","3,0","2,0","1,0","4,0","0,0","6,0","1,0","2,0","35,0"
gezondheid,"5,0","14,0","13,0","39,0","3,0","1,0","7,0","23,0","34,0","0,0","12,0","1,0","7,0","159,0"
slachtoffer,"3,0","3,0","27,0","8,0","3,0","3,0","9,0","10,0","9,0","3,0","16,0","6,0","19,0","117,0"
én,"1,0","8,0","24,0","21,0","2,0","4,0","1,0","5,0","22,0","3,0","17,0","3,0","4,0","115,0"
agressie,"2,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","2,0","4,0","1,0","1,0","12,0"
hulpverlener,"2,0","3,0","11,0","3,0","0,0","0,0","3,0","1,0","1,0","0,0","16,0","3,0","7,0","49,0"
zwaarder,"2,0","3,0","4,0","0,0","3,0","3,0","2,0","5,0","2,0","0,0","1,0","0,0","6,0","31,0"
straffen,"2,0","1,0","1,0","3,0","3,0","0,0","0,0","1,0","2,0","1,0","1,0","1,0","0,0","16,0"
eenzaam,"1,0","0,0","2,0","1,0","0,0","1,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","7,0"
tablet,"2,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","4,0"
cursus,"2,0","2,0","2,0","2,0","2,0","0,0","2,0","2,0","0,0","0,0","0,0","1,0","0,0","14,0"
afschaffing,"1,0","0,0","1,0","2,0","2,0","1,0","1,0","1,0","0,0","2,0","2,0","0,0","4,0","17,0"
