,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
aanvullen,"0,5291","0,1399","0,034","0,1638","0,4603","0,1313","0,0817","0,2864","0,0996","0,0","0,1381","0,4564","0,3146"
aanwezigheid,"0,5291","0,0","0,034","0,0655","0,0","0,1313","0,0","0,0477","0,0498","0,2505","0,0","0,2282","0,1049"
aanwinning,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
acceptatie,"0,5291","0,0","0,034","0,0983","1,3808","0,0","0,0817","0,0477","0,0996","0,0","0,0","0,0","0,0"
achtneming,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
actief,"0,5291","0,7697","0,3058","0,8844","0,6137","0,7877","0,6534","1,2412","1,0458","0,7515","0,7596","0,0","1,1535"
activiteit,"2,1164","0,7697","0,3058","0,0655","0,1534","0,3939","0,49","0,2387","0,9462","0,0","0,4143","0,0","0,1573"
acute,"1,0582","0,07","0,2379","0,0328","0,0","0,0","0,0817","0,0","0,0","0,0","0,2762","0,2282","0,0524"
administratie,"1,0582","0,07","0,034","0,0","0,0","0,1313","0,1633","0,0955","0,0","1,002","0,0691","0,0","0,0524"
advies,"1,0582","0,2099","0,2718","0,2293","0,1534","0,0","0,4084","0,0955","0,0498","0,2505","0,1036","0,0","0,0524"
afdracht,"0,5291","0,0","0,034","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,0","0,1573"
afgebouwd,"0,5291","0,0","0,068","0,0983","0,0","0,0","0,0","0,0955","0,2988","0,0","0,1726","0,0","0,0524"
afhankelijk,"0,5291","0,4198","0,3398","0,5241","0,3068","0,0","0,7351","0,7161","0,4482","0,2505","0,4488","1,5974","0,6292"
aflopen,"0,5291","0,7697","1,1893","0,9499","0,9205","1,5754","0,6534","0,4774","0,5976","2,2545","0,6905","0,4564","2,8837"
afschaffen,"2,1164","0,07","0,2718","0,0983","0,3068","0,3939","0,3267","0,1432","1,4939","0,7515","0,1036","0,2282","0,1573"
afschaffing,"0,5291","0,0","0,034","0,0655","0,3068","0,1313","0,0817","0,0477","0,0","0,501","0,0691","0,0","0,2097"
afspeeld,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
afspraak,"1,0582","2,239","2,1747","1,474","0,1534","0,2626","0,4084","1,0502","0,249","0,0","2,0716","0,6846","1,7302"
afstemming,"1,5873","0,0","0,068","0,0","0,0","0,0","0,1633","0,0","0,0","0,0","0,3107","0,0","0,0524"
agressie,"1,0582","0,07","0,0","0,0328","0,0","0,0","0,0","0,0","0,0","0,501","0,1381","0,2282","0,0524"
alcohol,"0,5291","0,0","0,034","0,0328","0,4603","0,0","0,0817","0,0955","0,0996","0,0","0,1036","0,0","0,0"
aleydis,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
alfabetische,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
algemeen,"0,5291","0,4198","0,2718","0,1638","0,3068","0,5251","0,4084","0,1909","0,0","0,0","0,6215","0,0","0,2622"
alternatief,"1,5873","0,4898","0,7815","0,7534","1,2274","0,1313","1,3068","0,5728","0,747","0,0","0,3798","0,9128","0,7865"
ambtsdrager,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
analyse,"0,5291","0,2799","0,034","0,1965","0,0","0,0","0,0","0,0","0,0","0,0","0,0691","0,0","0,0524"
antibiotica,"0,5291","0,0","0,068","0,0328","0,0","0,0","0,0","0,0","0,1494","0,0","0,0691","0,0","0,1573"
aow,"3,1746","0,07","0,1019","0,1638","0,0","1,3129","0,0817","0,2864","0,1494","0,0","0,0345","0,4564","0,1573"
apart,"0,5291","0,2799","0,1019","0,2293","0,4603","0,0","0,245","0,0955","0,1992","0,0","0,3453","0,2282","0,1049"
arbeidskorting,"0,5291","0,0","0,068","0,0","0,0","0,0","0,0817","0,0","0,0","0,0","0,0","0,0","0,0524"
arbeidsmarkt,"1,5873","1,3994","1,1213","1,0154","1,0739","0,3939","0,5717","0,3819","0,2988","0,501","0,4488","0,9128","0,6292"
arbeidsproces,"0,5291","0,0","0,0","0,0","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
arbeidsvoorwaarde,"0,5291","0,07","0,3058","0,0328","0,0","0,7877","0,4084","0,4296","0,0498","0,0","0,1381","0,0","0,1573"
arm,"0,5291","0,1399","0,1699","0,2293","0,3068","0,0","0,4084","0,5251","0,1992","0,501","0,1036","0,4564","0,0524"
armoedegrens,"0,5291","0,0","0,0","0,0328","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
arts,"0,5291","0,1399","0,2379","0,1965","0,0","0,1313","0,0817","0,1909","0,1494","0,2505","0,3453","0,0","0,36700000000000005"
asielzoeker,"1,0582","0,2099","0,4078","0,4586","0,9205","0,919","0,4084","0,1909","0,0","1,5030000000000001","1,4501","0,0","0,9962"
avond,"0,5291","0,0","0,0","0,0328","0,0","0,0","0,0817","0,1909","0,0","0,2505","0,0345","0,0","0,1573"
baan,"1,0582","1,3294","0,6116","1,0154","0,7671","0,2626","1,4701","2,1004","0,5976","2,004","0,4834","1,3692","1,1535"
babbeltrucs,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
baseren,"0,5291","0,1399","0,2039","0,4258","0,0","0,1313","0,245","0,1909","0,2988","0,0","0,2417","0,2282","0,6816"
basis,"1,0582","2,169","1,0534","1,8343","0,9205","0,6564","1,7151","1,0502","0,3486","0,501","0,8632","1,8257","0,9962"
basisbeurs,"1,0582","0,3498","0,068","0,0","0,1534","0,1313","0,0","0,1432","0,1494","0,501","0,0691","0,0","0,0"
basisverzekering,"1,0582","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0524"
bed,"0,5291","0,0","0,1019","0,0983","0,0","0,2626","0,0","0,0477","0,0996","0,2505","0,0691","0,2282","0,1049"
bedrag,"0,5291","0,1399","0,1699","0,1638","0,0","0,0","0,245","0,0477","0,2988","0,0","0,0691","0,0","0,2622"
bedreiging,"0,5291","0,1399","0,068","0,0328","0,0","0,2626","0,0817","0,1432","0,0996","0,2505","0,1036","0,6846","0,36700000000000005"
bedrijf,"1,0582","3,9882","2,5485","3,9307","3,6821","2,1006","6,4521","3,3416","2,2409","1,2525","2,6239999999999997","8,9","5,8197"
bedrijfsleven,"0,5291","0,2099","0,034","0,5896","0,3068","0,0","0,4084","0,1432","0,0996","0,0","0,4488","0,2282","0,4194"
beeldbel,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
beginnen,"0,5291","1,1195","0,6116","0,6879","0,4603","0,0","0,3267","0,7161","0,3984","0,7515","0,4834","0,6846","0,5243"
behalen,"0,5291","0,4198","0,1359","0,0655","0,3068","0,2626","0,3267","0,2387","0,249","0,2505","0,0691","0,0","0,2622"
behandelmethoden,"0,5291","0,0","0,034","0,0328","0,0","0,0","0,0817","0,0","0,0","0,0","0,0","0,0","0,0524"
beheersen,"0,5291","0,0","0,0","0,0655","0,0","0,0","0,0817","0,0","0,0996","0,0","0,0691","0,2282","0,1573"
behoefte,"1,0582","0,3498","0,2379","0,3931","0,1534","0,5251","0,3267","0,3342","0,7968","0,0","0,4143","0,2282","0,4719"
behoevende,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
behoud,"1,5873","0,6997","0,3058","0,4258","0,6137","0,7877","0,0817","0,1432","0,249","1,5030000000000001","0,2762","0,4564","0,5767"
behulp,"0,5291","0,2099","0,068","0,131","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,0","0,0524"
bekostigingssystematiek,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
belang,"4,2328","3,7783","2,6165","1,4413","3,5287","2,6257","1,0617","1,6708","1,9421","1,7535","2,1407","1,8257","2,8312"
belangrijk,"4,2328","3,7084","2,5485","3,0135","1,0739","1,0503","2,5319","2,4346","1,5437","2,7555","3,7289","1,8257","2,2021"
belastingen,"0,5291","0,6997","0,3398","0,5241","0,1534","1,4441","0,1633","0,2864","0,1494","0,501","0,2762","0,0","0,7340000000000001"
belastingmaatregel,"0,5291","0,0","0,0","0,0983","0,0","0,0","0,0","0,0","0,0","0,0","0,0345","0,0","0,0"
belastingproblemen,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
belastingstelsel,"0,5291","0,07","0,4757","0,1638","0,0","0,3939","0,245","0,0955","0,0498","0,0","0,2417","0,0","0,0524"
belbaar,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
beleid,"2,1164","1,2594","1,0194","1,0809","1,3808","1,0503","0,9801","0,8115","1,0956","0,0","1,4501","1,3692","0,6292"
belemmeren,"0,5291","0,0","0,068","0,0328","0,0","0,0","0,0","0,0955","0,0498","0,0","0,0345","0,0","0,0"
belemmering,"0,5291","0,5598","0,1699","0,1965","0,0","0,0","0,1633","0,1909","0,0498","0,0","0,0691","0,0","0,0"
beloning,"0,5291","0,07","0,3398","0,1965","0,3068","0,2626","0,4084","0,5728","0,1992","0,7515","0,1036","0,9128","0,0"
benaderen,"0,5291","0,0","0,0","0,0655","0,3068","0,0","0,0","0,0477","0,0","0,0","0,0345","0,0","0,0"
bepalen,"0,5291","0,4898","0,4757","0,8516","1,2274","1,7067","0,4084","0,4774","0,6972","0,7515","1,0013","0,4564","0,6816"
beperken,"1,5873","1,7492","1,0874","1,212","0,4603","1,1816","0,49","0,6683","0,9462","0,7515","1,0358","0,6846","1,101"
beperking,"0,5291","0,9796","1,1553","0,9172","0,1534","0,6564","1,7968","0,6206","0,2988","0,501","1,1394","2,0539","0,4719"
beplanting,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
bereikbaar,"0,5291","0,7697","0,034","0,1638","0,3068","0,0","0,245","0,2864","0,3984","0,0","0,0691","0,0","0,2097"
beroepsonderwijs,"1,0582","0,2799","0,2379","0,131","0,0","0,7877","0,0","0,0955","0,0498","0,2505","0,3453","0,2282","0,1573"
beschikbaar,"2,6455","0,8396","1,1213","1,1465","0,9205","0,2626","0,8984","0,4774","0,2988","1,5030000000000001","1,2775","0,4564","0,9437"
beschikken,"0,5291","0,3498","0,034","0,0328","0,0","0,2626","0,0817","0,2864","0,249","0,2505","0,1381","0,0","0,4194"
beschouwen,"0,5291","0,0","0,068","0,0","0,0","0,1313","0,0","0,0477","0,1494","0,0","0,0","0,0","0,1049"
beseft,"0,5291","0,0","0,1019","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
bestraft,"1,0582","0,1399","0,034","0,0","0,1534","0,1313","0,0817","0,0955","0,0498","0,2505","0,0691","0,2282","0,1573"
bestrijden,"0,5291","0,0","0,4757","0,3603","1,6876","0,3939","0,9801","0,8115","0,1992","0,7515","0,3453","2,5103","0,4719"
bestrijding,"1,0582","0,2799","0,1699","0,262","1,6876","0,0","0,3267","0,2387","0,1992","0,0","0,3107","0,2282","0,2097"
bestuurlijk,"1,5873","0,07","0,2039","0,0","0,0","0,6564","0,0","0,0","0,0","0,0","0,2072","0,0","0,0"
betaalbaarheid,"1,0582","0,1399","0,1019","0,0","0,6137","0,0","0,0","0,0","0,0498","0,0","0,0345","0,0","0,2097"
betekenen,"1,5873","0,3498","0,9514","0,7861","0,7671","0,5251","1,2251","1,0979999999999999","0,996","0,7515","0,6905","0,0","0,8389"
beter,"1,0582","0,07","0,4078","0,0328","0,3068","0,0","0,0","0,1432","0,0","0,2505","0,0","0,4564","0,36700000000000005"
betreffen,"1,5873","0,07","0,4078","0,4258","1,8411","1,0503","0,0","0,1432","0,0","0,2505","0,6559999999999999","0,2282","0,0"
betrekken,"1,5873","0,7697","0,4757","0,5896","0,3068","0,1313","0,9801","0,4296","0,4482","0,0","1,0013","0,0","0,4719"
beveiligen,"0,5291","0,0","0,0","0,0","0,0","0,1313","0,0817","0,0477","0,0","0,0","0,0345","0,0","0,0524"
bevinden,"0,5291","0,0","0,1019","0,0983","0,0","0,3939","0,0817","0,0477","0,0","0,0","0,1036","0,0","0,1049"
bevoegdheid,"0,5291","0,3498","0,2718","0,4913","0,3068","0,5251","0,3267","0,2387","0,3486","0,2505","0,7596","0,2282","0,7865"
bevorderen,"0,5291","0,1399","0,9175","0,4258","1,3808","0,2626","0,4084","0,4774","0,249","0,0","0,7941","0,2282","0,2097"
bevriezen,"0,5291","0,0","0,068","0,0328","0,0","0,0","0,0817","0,2387","0,0498","0,0","0,0","0,0","0,1049"
bewaking,"0,5291","0,07","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2505","0,0345","0,0","0,0"
bewijs,"0,5291","0,07","0,0","0,0655","0,0","0,1313","0,0","0,0","0,0","0,0","0,0345","0,0","0,0524"
bewijzen,"0,5291","0,1399","0,1019","0,131","0,3068","0,0","0,1633","0,1909","0,0","0,2505","0,1036","0,0","0,2097"
bewoner,"0,5291","0,07","0,3058","0,262","0,3068","0,0","0,4084","0,5728","0,3984","0,0","0,1381","0,4564","0,1573"
bewustwording,"0,5291","0,07","0,068","0,0983","0,6137","0,0","0,245","0,0955","0,0","0,0","0,0691","0,0","0,0"
bezuiniging,"0,5291","0,07","0,1359","0,0655","0,0","0,2626","0,49","0,2387","0,2988","0,0","0,0345","0,2282","0,0524"
beëindigd,"0,5291","0,0","0,034","0,0","0,0","0,3939","0,0817","0,0","0,0498","0,0","0,0345","0,0","0,0"
bieden,"1,0582","5,2477","1,8689","2,3584","1,2274","1,4441","1,4701","2,6733","2,0915","0,2505","2,3823","0,9128","2,6215"
bijdrage,"1,0582","2,0991","1,3932","1,0809","1,3808","0,2626","1,0617","0,9547","0,3984","0,501","1,1739","2,5103","1,7826"
bijvoorbeeld,"3,7037","0,5598","3,1262","3,2756","0,6137","1,0503","1,3068","1,0502","1,5437","1,7535","4,2468","1,141","5,1382"
binden,"1,0582","0,5598","0,1699","0,4258","0,3068","0,6564","0,3267","0,2864","0,249","0,501","0,2417","0,9128","0,1573"
biodiversiteit,"0,5291","0,1399","0,6796","0,6224","0,0","0,0","0,1633","0,0955","1,1454","0,0","0,1036","0,2282","0,0524"
blijven,"10,582","3,7084","4,1456","3,0789999999999997","3,0684","3,0196","1,7151","3,1984","2,9381","4,5089999999999995","5,4898","3,1949","4,9284"
bonus,"0,5291","0,1399","0,068","0,0","0,3068","0,1313","0,0817","0,0477","0,1494","0,0","0,0345","0,4564","0,0524"
boom,"0,5291","0,1399","0,1359","0,0983","0,0","0,6564","0,245","0,0955","2,0915","0,2505","0,0345","0,2282","0,0"
bouwen,"1,0582","2,0991","1,4272","1,9326","0,7671","1,3129","2,5319","1,1934","1,1454","1,5030000000000001","0,6559999999999999","2,0539","0,9437"
bouwplan,"1,0582","0,0","0,0","0,0328","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,6846","0,0524"
brandweer,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1036","0,6846","0,0"
breiden,"0,5291","0,2099","0,1019","0,262","0,0","0,0","0,49","0,3819","0,249","0,0","0,0","0,2282","0,6816"
brengen,"1,0582","1,0495","1,699","1,2775","1,2274","0,5251","0,8167","1,0025","1,3944","1,2525","1,3119999999999998","1,141","1,3108"
broodnodig,"0,5291","0,0","0,0","0,0328","0,0","0,0","0,0","0,0","0,0498","0,0","0,0691","0,0","0,0"
brussel,"0,5291","0,0","0,034","0,0328","0,1534","0,5251","0,0817","0,0955","0,0498","0,7515","0,3107","0,4564","0,0"
budgetruimte,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
buitengrens,"0,5291","0,2099","0,034","0,0328","0,3068","0,0","0,0","0,0477","0,0","0,2505","0,0345","0,0","0,5767"
buitenland,"0,5291","0,4898","0,1699","0,7534","1,0739","0,6564","0,6534","0,1432","0,3486","1,5030000000000001","0,4488","0,6846","0,5767"
burgemeester,"0,5291","0,2799","0,034","0,0655","0,1534","0,5251","0,1633","0,1909","0,0","0,501","0,1381","0,0","0,1573"
burger,"1,0582","2,8687","0,7815","0,8189","1,2274","1,3129","0,7351","1,4799","2,3405","0,7515","2,2097","0,6846","0,6292"
buurt,"0,5291","0,4898","0,4417","0,4258","0,0","0,0","0,7351","1,0025","0,6474","0,0","0,1381","2,9667","0,1573"
capaciteit,"0,5291","0,6997","0,5097","0,3603","0,4603","0,2626","0,9801","0,4296","0,249","0,2505","0,3798","0,2282","0,4194"
capaciteitsuitbreiding,"0,5291","0,0","0,034","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
centraal,"0,5291","0,2099","0,8835","0,8189","0,6137","0,3939","0,3267","0,7638","0,4482","0,2505","0,5524","0,4564","0,5243"
centrumgemeente,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
circulaire,"0,5291","0,2799","0,4757","0,5896","0,1534","0,0","0,5717","0,2864","0,1992","0,0","0,0345","0,2282","0,1049"
combinatie,"0,5291","0,6297","0,2379","0,131","0,0","0,1313","0,0817","0,2864","0,1992","0,0","0,3798","0,0","0,2622"
commerciel,"0,5291","0,2099","0,1359","0,1965","0,0","0,1313","0,0817","0,0477","0,249","0,0","0,0691","0,0","0,0"
concreet,"0,5291","0,2099","0,3738","0,262","0,4603","0,2626","0,0","0,0955","0,1992","0,0","0,3798","0,0","0,1049"
consult,"0,5291","0,0","0,0","0,0655","0,0","0,1313","0,0","0,0","0,0498","0,0","0,0","0,0","0,0524"
contact,"2,6455","0,2099","0,2718","0,4258","0,1534","0,2626","0,3267","0,3819","0,1992","0,2505","0,0691","0,2282","0,2622"
corona,"0,5291","0,4198","0,1699","0,0983","0,7671","0,5251","1,4701","0,9547","0,2988","0,2505","0,0691","0,2282","0,1573"
coronabesmetting,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
corporatie,"1,0582","0,1399","0,0","0,0655","0,1534","0,1313","0,3267","0,4774","0,0498","0,0","0,0","0,2282","0,1049"
corrupte,"0,5291","0,0","0,0","0,0328","0,0","0,0","0,0817","0,0477","0,0498","1,2525","0,0","0,2282","0,0"
coördineert,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0477","0,0","0,0","0,0","0,0","0,0"
criminaliteit,"1,5873","0,9096","0,5097","0,2293","0,3068","0,6564","0,4084","0,7161","0,0996","0,2505","0,3453","0,4564","0,5767"
cultureel,"0,5291","0,4898","0,4417","0,5568","0,6137","0,6564","0,9801","0,907","0,3486","0,2505","0,4143","0,0","0,36700000000000005"
cultuur,"1,0582","0,6297","0,4417","0,9827","0,6137","2,2318","1,3884","2,2914","0,747","3,0060000000000002","0,4834","0,6846","0,7340000000000001"
cultuurinstelling,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cultuurinstellingenellingen,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cursus,"1,0582","0,1399","0,034","0,0655","0,3068","0,0","0,1633","0,0955","0,0","0,0","0,0","0,2282","0,0"
daadwerkelijk,"0,5291","0,0","0,3058","0,262","0,0","0,0","0,1633","0,2864","0,1494","0,0","0,3798","0,2282","0,3146"
daarbij,"2,6455","1,0495","1,5971","1,4413","0,6137","1,3129","0,8167","1,3366","0,3984","0,2505","1,8299","0,9128","2,2545"
daarmee,"0,5291","0,6297","0,9514","0,8189","0,6137","1,0503","0,9801","1,0979999999999999","0,8466","0,501","0,7251","1,141","0,7865"
daarnaast,"0,5291","1,1895","1,1213","1,0154","0,9205","1,4441","2,1235","0,6206","0,5478","1,002","0,6215","0,0","1,4680000000000002"
daarvan,"0,5291","0,0","0,6116","0,131","0,3068","0,2626","0,245","0,0955","0,5976","0,2505","0,3453","0,6846","0,1049"
daarvoor,"1,0582","0,6297","0,3398","0,4258","0,3068","0,0","0,6534","0,907","0,498","0,501","0,7941","0,6846","0,7865"
decennia,"0,5291","0,2099","0,2379","0,131","0,3068","0,6564","0,3267","0,1432","0,0996","0,2505","0,1381","0,0","0,8389"
deel,"2,1164","1,6093","1,4951","1,8671","0,3068","1,1816","1,7151","0,907","1,5935","0,501","1,1049","2,7385","1,7826"
deelnemen,"0,5291","0,1399","0,068","0,0983","0,0","0,1313","0,0","0,0955","0,0","0,2505","0,0345","0,0","0,1049"
deels,"0,5291","0,0","0,3058","0,1965","0,0","0,1313","0,0817","0,3342","0,249","0,0","0,1036","0,0","0,2097"
deeltijdpensioen,"0,5291","0,07","0,0","0,0","0,0","0,0","0,0","0,0","0,0498","0,0","0,0","0,0","0,0"
defensie,"0,5291","0,6297","0,3398","0,4913","1,3808","1,9693","0,0","0,0955","0,0498","2,004","0,4143","0,0","0,8913"
definitief,"0,5291","0,0","0,1019","0,0328","0,0","0,0","0,1633","0,0477","0,249","0,0","0,0","0,0","0,0"
degene,"1,0582","0,0","0,068","0,131","0,3068","0,0","0,0817","0,0477","0,0","0,0","0,2072","0,0","0,0"
delen,"1,0582","0,1399","0,1699","0,1965","0,3068","0,0","0,0","0,0","0,0996","0,0","0,1036","0,0","0,1573"
democratie,"1,0582","0,4198","0,5437","0,9827","0,4603","2,8883","2,1235","0,907","0,2988","1,2525","0,1381","1,5974","0,4719"
democratieonderwijs,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
demografische,"1,0582","0,0","0,0","0,0328","0,0","0,0","0,0","0,0477","0,0498","0,0","0,0691","0,0","0,0"
den,"1,0582","0,3498","0,2039","0,0983","0,1534","0,0","0,0","0,0955","2,0915","0,7515","0,2417","0,6846","0,0"
dergelijke,"0,5291","0,07","0,1699","0,0328","0,0","0,0","0,1633","0,0","0,0996","0,0","0,4143","0,2282","0,0"
dertien,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
dialoog,"1,5873","0,0","0,1019","0,0655","0,1534","0,0","0,0817","0,1909","0,0","0,0","0,1381","0,0","0,0"
dichtbij,"1,0582","0,2099","0,6116","0,2293","0,1534","0,0","0,1633","0,3819","0,0498","0,0","0,1726","0,0","0,0524"
dienen,"2,1164","0,5598","0,7136","0,5241","2,1479","1,3129","0,245","0,3819","0,6972","0,2505","4,8338","0,9128","0,6816"
dienst,"0,5291","1,1195","0,6796","0,8844","0,0","0,2626","1,0617","0,7161","0,9462","0,0","0,4143","1,3692","1,101"
digitaal,"2,6455","2,7288","0,7136","3,1118","0,1534","0,2626","0,7351","1,3366","0,1992","1,2525","1,3811","0,6846","1,5729"
digitaliseringles,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
digivaardig,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
digivaardigheid,"1,0582","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
direct,"2,1164","0,6997","0,5777","0,3931","0,6137","1,9693","0,5717","0,8593","1,2948","1,2525","0,4834","0,9128","1,2059"
discriminerend,"0,5291","0,0","0,034","0,131","2,1479","0,0","0,1633","0,0477","0,0","0,0","0,0","0,0","0,1049"
divers,"0,5291","0,1399","0,068","0,2948","0,1534","0,0","0,0","0,2864","0,1494","0,0","0,1381","0,0","0,1049"
doel,"0,5291","1,2594","0,7136","0,8844","0,6137","0,919","0,4084","0,5728","0,498","0,0","0,7251","0,0","0,9437"
doelgroep,"1,0582","0,07","0,1699","0,131","0,0","0,0","0,0","0,0477","0,0","0,0","0,1036","0,0","0,0"
doelkanaal,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
doelwit,"0,5291","0,0","0,0","0,0","0,1534","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
domein,"0,5291","0,3498","0,1019","0,1965","1,0739","0,0","0,1633","0,0955","0,0996","0,0","0,1381","0,0","0,0"
doorloopprocedures,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
doorschuiven,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
doorverwijzen,"0,5291","0,0","0,034","0,0328","0,1534","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
doorwerken,"0,5291","0,07","0,0","0,0655","0,0","0,1313","0,0","0,0","0,0","0,0","0,0","0,2282","0,0524"
dragen,"0,5291","1,4694","1,2573","0,9827","1,0739","0,7877","0,8984","1,2412","0,8964","0,2505","0,8632","0,9128","0,7340000000000001"
drastisch,"0,5291","0,1399","0,034","0,0655","0,1534","0,3939","0,0817","0,0955","0,1992","0,0","0,1381","0,4564","0,1049"
drempelvrije,"0,5291","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
